Year,Annual
2018 *,2639
2017 *,977
2016 *,1547
2015 *,3440
2014 *,3015
2013 *,6084
2012 *,2671
2011 *,827
2010 *,1596
2009 *,4537
2008,2830
2007,2541
2006,17296
2005,15839
2004,7869
2003,8218
2002,7441
2001,8224
2000,1352
1999,3288
1998,2992
1997,880
1996,1337
1995,1297
1994,186
1993,387
1992,1240
1991,211
1990,430
1989,696
1988,2878
1987,2185
1986,2596
1985,5407
1984,2763
1983,1831
1982,1281
1981,22797
1980,1156
1979,2364
1978,25012
1977,17214
1976,35596
1975,23930
1974,21897
1973,24079
1972,37133
1971,53089
1970,40409
Notes:
* Indicates annual escapement and mean are not final; data is Preliminary status.
CDFW GrandTab Adult Escapement
California Central Valley Chinook Population Database Report. CDFW GrandTab Adult Escapement. All; All; Sacramento and San Joaquin River Systems. All Winter Chinook.  (December to August). 1 GrandTab Data Note exists for dataset
Generated 04 Sep 2020 11:02:59 PDT. CDFW GrandTab Adult Escapement www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html.

"Citation. Columbia Basin Research, University of Washington. (2020). SacPAS CDFW GrandTab Adult Escapement. Available from http://www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html."
