Station,Year,Flow_slope,SE,df,t_ratio,p_value
RD22,2015,-1.39e-03##,5.28e-04##,70.7##,-2.64##,0.010##
RD22,2016,-1.86e-05##,6.37e-04##,70.7##,-0.0291##,0.977##
RD22,2017,0.0294##,0.0138##,70.7##,2.13##,0.036##
RD22,2018,-8.72e-04##,5.13e-04##,70.7##,-1.70##,0.094##
RD22,2019,-1.65e-03##,3.74e-04##,70.7##,-4.42##,< 0.001##
STTD,2015,2.73e-03##,4.49e-04##,60.7##,6.08##,< 0.001##
STTD,2016,1.25e-03##,4.81e-04##,60.7##,2.60##,0.012##
STTD,2017,0.0171##,5.16e-03##,60.7##,3.31##,0.002##
STTD,2018,2.48e-03##,3.72e-04##,60.7##,6.68##,< 0.001##
STTD,2019,1.39e-03##,2.64e-04##,60.7##,5.25##,< 0.001##
LIB,2015,-1.11e-04##,2.69e-04##,49.9##,-0.412##,0.682##
LIB,2016,6.02e-04##,6.78e-04##,49.9##,0.889##,0.378##
LIB,2017,2.79e-06##,2.77e-04##,49.9##,0.0101##,0.992##
LIB,2018,5.94e-04##,7.32e-04##,49.9##,0.811##,0.421##
LIB,2019,-1.65e-04##,4.30e-04##,49.9##,-0.385##,0.702##
RVB,2015,1.73e-04##,1.00e-04##,69.8##,1.73##,0.089##
RVB,2016,-1.03e-04##,5.03e-05##,69.8##,-2.04##,0.045##
RVB,2017,-1.99e-05##,2.43e-05##,69.8##,-0.817##,0.417##
RVB,2018,-1.38e-05##,2.55e-05##,69.8##,-0.543##,0.589##
RVB,2019,2.76e-05##,2.67e-05##,69.8##,1.03##,0.306##
