StationCode,Region
C3A,Northern.Interior.Delta
D24,Northern.Interior.Delta
NZ068,Northern.Interior.Delta
C9,Southern.Interior.Delta
C10A,Southern.Interior.Delta
MD10A,Southern.Interior.Delta
P8,Southern.Interior.Delta
D16,Central.Delta
D19,Central.Delta
D26,Central.Delta
D28A,Central.Delta
D4,Confluence
D10,Confluence
D12,Confluence
D22,Confluence
D7,Grizzly.and.Suisun.Bay
D8,Grizzly.and.Suisun.Bay
NZ032,Grizzly.and.Suisun.Bay
NZS42,Grizzly.and.Suisun.Bay
D6,San.Pablo.Bay
D41,San.Pablo.Bay
D41A,San.Pablo.Bay
NZ002,San.Pablo.Bay
NZ004,San.Pablo.Bay
NZ325,San.Pablo.Bay
EZ2,Entrapment.Zone
EZ2-SJR,Entrapment.Zone
EZ6,Entrapment.Zone
EZ6-SJR,Entrapment.Zone
